geneSymbol	HGNCID
CG-NAP	HGNC:379
SOK1	HGNC:11404
FLJ13646	HGNC:25833
16S	HGNC:7471
MAPKAPK1	HGNC:10430
GLXR	HGNC:4570
PLAC8L2	HGNC:30183
MF4	HGNC:3672
KIAA1189	HGNC:29208
hsa-mir-658	HGNC:32914
KIAA0507	HGNC:24255
LZ16	HGNC:21316
U70F	HGNC:34358
CAGR1	HGNC:6757
PSP1	HGNC:20320
dJ901O8.2	HGNC:16601
KIAA1332	HGNC:29249
FLJ36102	HGNC:26691
KIAA1442	HGNC:29278
TDRD24	HGNC:11243
SMEK2	HGNC:29267
CAML	HGNC:1471
ASH-5	HGNC:33169
HBGF8	HGNC:9630
IGHD4OR154B	HGNC:5507
TDGF5	HGNC:11705
NFSK	HGNC:5969
APOLVI	HGNC:14870
bA101E13.1	HGNC:16065
VL	HGNC:17082
SEC13R	HGNC:10697
QCR7	HGNC:12582
C20orf4	HGNC:15886
DYRK6	HGNC:4915
hsa-mir-3545	HGNC:41811
IGKJRB1	HGNC:5724
nmt-tRNA-Gln-TTG-8-1	HGNC:35018
FLJ20477	HGNC:26031
TDPX2	HGNC:11711
hRIT1-alpha	HGNC:13222
THANK	HGNC:11929
TFIIH	HGNC:21157
NCRNA00204A	HGNC:30612
hsa-mir-6738	HGNC:49939
ASBABP2	HGNC:8602
PETA-3	HGNC:1630
CDK7PS	HGNC:18614
NKSF	HGNC:5970
KOX9	HGNC:12947
TRC-GCA2-2	HGNC:34666
MGC20460	HGNC:27223
FLJ20571	HGNC:25008
MIRN320D2	HGNC:35388
MGC99481	HGNC:25095
MGC5540	HGNC:17183
RN5S377	HGNC:43277
Schnurri-3	HGNC:13561
foigr	HGNC:25751
SMAF1	HGNC:28606
KIAA0226	HGNC:28991
hKCC2	HGNC:13818
HYPAL	HGNC:50584
AS1DHRS4	HGNC:23175
FSTL2	HGNC:5476
DFNB94	HGNC:26274
LEP4	HGNC:29465
TRNAN11	HGNC:34643
TDRD11	HGNC:30646
JHDM1A	HGNC:13606
C19orf28	HGNC:28299
FLJ10300	HGNC:21862
FLJ32421	HGNC:26512
ELK2	HGNC:3323
hSK2	HGNC:6291
hsa-mir-143	HGNC:31530
NCRNA00174	HGNC:27788
RN5S196	HGNC:43096
PARP5B	HGNC:15677
DKFZp564L2123	HGNC:20861
KIAA1065	HGNC:18639
FAM160B1	HGNC:29320
AGXT2L2	HGNC:28249
C6ST	HGNC:1971
MIRN27B	HGNC:31614
GPR58	HGNC:4514
GA17	HGNC:24460
ACACbeta	HGNC:85
UBCH7N3	HGNC:12486
FLJ13693	HGNC:21092
GPIP4	HGNC:8993
MTH1	HGNC:8048
OR6C67	HGNC:15436
CT95	HGNC:21622
WHAMM1	HGNC:30493
IFIT1L	HGNC:23442
NOD12	HGNC:22947
PRED80	HGNC:23132
RhII	HGNC:10009
SLA1	HGNC:10902
FLJ13621	HGNC:29086
GSTP	HGNC:4638
HBII-52-34	HGNC:33053
OR4F21P	HGNC:19583
PYCARDOS	HGNC:45036
TMEM8C	HGNC:33778
RP11-296A18.3	HGNC:51335
SRP-alpha	HGNC:11307
CEP52	HGNC:12458
CDW52	HGNC:1804
ARK1	HGNC:11393
HP1-ALPHA	HGNC:1555
KIAA0290	HGNC:29002
CAMKA	HGNC:1460
KAP25.1	HGNC:34003
GAD	HGNC:4092
PCSCL	HGNC:20663
17b-HSD10	HGNC:4800
hsa-mir-217	HGNC:31594
WALp4	HGNC:963
hsa-mir-7110	HGNC:50024
tRNA-Val-TAC-2-1	HGNC:34849
FLDED1	HGNC:2755
SemA	HGNC:10724
Kv7.1	HGNC:6294
BA2R	HGNC:11535
AK3L2	HGNC:21596
CD172b	HGNC:15928
SIP1	HGNC:14881
MFAT	HGNC:23251
hsa-mir-3180-2	HGNC:38343
Hek3	HGNC:3391
ENST00000437593	HGNC:49496
FLJ22206	HGNC:23575
RP50	HGNC:12703
BRWD1-IT2	HGNC:16423
IFT139A	HGNC:30761
SCAX1	HGNC:816
Zfp346	HGNC:16403
ABCD-1	HGNC:10621
HsT17083	HGNC:4606
hCdc21	HGNC:6947
